Moisture,ADC,Temperature,Humidity
13.81,2917,29.7,53
11.2,2928,29,53
11.44,2927,29.6,53
10.71,2930,29.5,53
10.96,2929,29.1,53
7.94,2941,29,53
8.46,2939,29.9,53
11.68,2926,29,53
6.9,2945,29.3,53
11.2,2928,29.7,53
11.92,2925,29.1,53
11.2,2928,29,53
23.74,2868,29.2,53
12.4,2923,29.1,53
10.22,2932,29.6,53
3.94,2956,29,53
11.2,2928,29.4,53
11.68,2926,29.2,53
11.44,2927,29.6,53
9.72,2934,29.1,53
11.92,2925,29.6,53
11.44,2927,29,53
13.81,2917,29.4,53
12.88,2921,29.4,53
14.27,2915,29.9,53
10.47,2931,29.7,53
16.28,2906,29.5,53
11.2,2928,29.2,53
11.68,2926,29.3,53
11.92,2925,29.5,53
12.88,2921,29.4,53
11.92,2925,29.3,53
11.2,2928,29.4,53
11.2,2928,29.3,53
10.22,2932,29,53
18.61,2895,29.9,53
18.19,2897,29.5,53
11.68,2926,29.4,53
7.68,2942,29.9,53
13.81,2917,29.8,53
11.2,2928,29.4,53
9.22,2936,29,53
11.2,2928,29.3,53
10.96,2929,29.8,53
7.68,2942,29.4,53
-11.91,3008,29,53
13.34,2919,29.3,53
11.2,2928,29.2,53
10.47,2931,29.6,53
14.04,2916,29.1,53
11.68,2926,29.5,53
10.96,2929,29.1,53
24.43,2864,29.6,53
12.64,2922,29.9,53
11.2,2928,29.4,53
10.96,2929,29.2,53
11.92,2925,29.5,53
18.4,2896,29,53
13.34,2919,29.5,53
13.34,2919,29.5,53
12.4,2923,29,53
10.47,2931,29.3,53
11.44,2927,29.2,53
16.06,2907,29.3,53
12.4,2923,29.2,53
11.44,2927,29.6,53
18.81,2894,29.5,53
12.64,2922,29.9,53
11.92,2925,29.7,53
11.68,2926,29.3,53
12.4,2923,29.7,53
11.2,2928,29,53
11.2,2928,29.4,53
11.92,2925,29.7,53
12.16,2924,29.1,53
5.84,2949,29.2,53
13.34,2919,29.6,53
11.68,2926,29.2,52
13.58,2918,29.6,53
9.97,2933,29.5,53
11.68,2926,29.4,52
11.68,2926,29.6,52
11.44,2927,29.3,52
12.4,2923,29.4,52
12.4,2923,29.6,52
10.96,2929,29.5,52
11.92,2925,29.3,52
11.2,2928,29.1,52
12.16,2924,29.5,52
11.2,2928,29.6,52
11.2,2928,29.6,52
12.4,2923,29.1,52
11.2,2928,29.5,52
11.44,2927,29.9,52
11.44,2927,29,52
14.72,2913,29.8,52
11.44,2927,29.4,52
11.92,2925,29.6,52
13.58,2918,29.6,52
-0.31,2971,29.4,52
11.2,2928,30.5,52
12.64,2922,30.7,52
11.2,2928,30.9,52
11.92,2925,30.3,52
14.95,2912,30.4,52
11.44,2927,30.6,52
11.44,2927,30.7,52
11.68,2926,30.9,52
11.2,2928,30.6,52
18.4,2896,30,52
11.44,2927,30.6,52
11.2,2928,30.1,52
9.47,2935,30.8,52
12.4,2923,30.4,52
12.4,2923,30.3,52
8.71,2938,30.9,52
11.2,2928,30.2,52
11.2,2928,30.6,52
12.64,2922,30.9,52
13.81,2917,30.7,52
9.97,2933,30.3,52
12.88,2921,30.1,52
11.68,2926,30.6,52
11.68,2926,30.5,52
14.27,2915,30.7,52
12.88,2921,30.3,52
9.47,2935,30.5,52
12.16,2924,30.4,52
11.92,2925,30.7,52
14.95,2912,30.6,52
10.47,2931,30.3,52
11.2,2928,30.3,52
14.72,2913,30.2,52
11.68,2926,30.9,52
11.2,2928,30.7,52
11.2,2928,30.4,52
11.92,2925,30.3,52
11.44,2927,30.3,52
13.58,2918,30.3,52
12.16,2924,30.5,52
11.2,2928,30.3,52
11.92,2925,30.2,52
10.71,2930,30.2,52
10.47,2931,30.9,52
11.44,2927,30.6,52
11.2,2928,30.2,52
11.92,2925,30,52
11.92,2925,30,52
11.2,2928,30.2,52
3.94,2956,30.6,52
14.72,2913,30.9,52
11.44,2927,30.1,53
11.68,2926,30.1,52
8.96,2937,30.9,53
11.2,2928,30.4,53
11.2,2928,30.8,53
20.41,2886,30,53
11.44,2927,30.4,53
11.2,2928,30.2,53
11.2,2928,30.6,53
15.39,2910,30.4,53
11.44,2927,30.1,53
11.92,2925,29.4,54
11.68,2926,29.6,54
11.92,2925,29.8,54
11.68,2926,29.4,53
11.2,2928,29.8,53
4.22,2955,29.6,53
11.2,2928,29.1,53
11.68,2926,29.3,53
11.44,2927,29.8,53
11.92,2925,29.7,53
9.47,2935,29,53
11.2,2928,29.3,53
10.96,2929,29.1,53
11.2,2928,29.4,53
12.16,2924,29.8,53
12.4,2923,29.1,53
9.97,2933,29.2,53
11.44,2927,29.5,53
11.44,2927,29,53
11.92,2925,29.4,53
11.68,2926,29.2,53
11.2,2928,29.5,53
13.81,2917,29.9,53
12.4,2923,29.7,53
11.44,2927,29.5,53
11.92,2925,29.4,53
11.2,2928,29.7,53
13.81,2917,29.5,53
11.44,2927,29.2,53
2.27,2962,29.9,53
12.4,2923,29.3,53
11.44,2927,29.3,53
14.27,2915,29.7,53
21.37,2881,29,53
15.39,2910,29.2,53
12.64,2922,29.9,53
16.06,2907,29.6,53
13.81,2917,29.5,53
13.81,2917,29.2,53
13.34,2919,29.5,53
13.58,2918,29.1,53
24.43,2864,29.3,53
13.58,2918,29,53
13.81,2917,29.6,53
13.81,2917,29.7,53
18.61,2895,29.9,53
15.17,2911,29.4,53
14.95,2912,29.8,53
15.17,2911,29.1,53
14.27,2915,29,53
14.95,2912,29,53
13.81,2917,29.7,53
14.72,2913,29.3,53
16.92,2903,29.6,53
13.34,2919,29.7,53
13.34,2919,29.5,53
13.81,2917,29.4,53
8.71,2938,29.2,53
15.62,2909,29.9,52
14.27,2915,29.1,52
14.27,2915,29,52
13.81,2917,29.1,52
14.72,2913,29.3,52
15.17,2911,29.4,52
14.27,2915,29.1,52
14.72,2913,29.7,52
14.72,2913,29.9,52
14.27,2915,29.4,52
14.27,2915,29.7,52
14.49,2914,29.5,52
12.64,2922,29.1,52
14.27,2915,29.1,52
15.17,2911,29,52
14.04,2916,29.8,52
14.72,2913,29.9,52
14.04,2916,29.3,52
14.49,2914,29.7,52
14.49,2914,29.9,52
10.47,2931,29.7,52
14.04,2916,29.9,52
14.49,2914,29,52
11.2,2928,29.5,52
14.27,2915,29.7,52
14.49,2914,29.5,52
18.4,2896,29.2,52
15.17,2911,29.8,52
14.27,2915,29.4,52
15.62,2909,29,52
14.04,2916,29.5,52
16.92,2903,29.7,52
14.72,2913,29.2,52
14.27,2915,29.8,52
15.17,2911,29,52
15.39,2910,29.5,52
14.04,2916,29.2,52
15.39,2910,29.5,52
14.27,2915,29.9,52
-12.92,3011,29.8,52
14.27,2915,29.8,52
15.62,2909,29.8,52
12.88,2921,29.8,52
14.72,2913,29.4,52
18.4,2896,29.1,52
13.34,2919,29.5,52
13.58,2918,29.1,52
12.4,2923,29.8,52
12.64,2922,29.3,52
14.27,2915,29.2,52
14.27,2915,29.2,52
13.81,2917,29.6,52
2.83,2960,29.2,52
16.28,2906,29.4,52
11.68,2926,29.1,52
15.39,2910,29.5,52
14.72,2913,29.4,52
13.58,2918,29.4,52
14.72,2913,29.6,52
14.27,2915,29,52
13.34,2919,29.8,52
13.81,2917,29.3,52
14.27,2915,29.1,52
14.27,2915,29.1,52
10.47,2931,29.1,52
14.95,2912,29.4,52
17.35,2901,29.6,52
15.17,2911,29.8,52
14.72,2913,29.7,52
14.49,2914,29.7,52
10.47,2931,29.1,52
-8.3,2997,29.1,52
13.34,2919,29.5,52
12.16,2924,29.3,52
12.4,2923,29.3,52
15.39,2910,29.3,52
15.17,2911,29.3,52
18.19,2897,29.7,52
14.04,2916,29.4,52
9.47,2935,29,52
14.72,2913,29.2,52
14.27,2915,29,52
14.49,2914,29.7,52
14.27,2915,29.7,52
15.62,2909,29.5,52
13.34,2919,29.5,52
14.27,2915,29,52
14.72,2913,29.2,52
12.4,2923,29.3,52
12.4,2923,29.7,52
-7.34,2994,29.9,52
13.58,2918,29.5,52
-0.9,2973,29.7,52
14.27,2915,29.9,52
12.64,2922,29.3,52
-7.02,2993,29.7,52
13.81,2917,29.2,52
24.26,2865,29.1,52
12.4,2923,29.8,52
18.4,2896,29.4,52
14.04,2916,29.8,52
14.04,2916,29,52
15.17,2911,29,52
14.27,2915,29.5,52
13.81,2917,29.7,52
14.04,2916,29.6,52
15.62,2909,29.2,52
14.27,2915,29.5,52
17.35,2901,29.7,52
14.49,2914,29.2,52
14.27,2915,29.2,52
14.72,2913,29.1,52
15.84,2908,29.2,52
6.37,2947,29.1,52
14.04,2916,29.5,52
12.16,2924,29.1,52
14.72,2913,29.5,52
14.72,2913,29.5,52
17.35,2901,29.5,52
15.62,2909,29.5,52
15.17,2911,29.8,52
16.28,2906,29.9,52
6.37,2947,29.9,52
15.62,2909,29.6,52
14.04,2916,29.5,52
13.34,2919,29.1,52
14.72,2913,29.4,52
15.39,2910,29.5,52
14.49,2914,29.5,52
14.27,2915,29.8,52
14.49,2914,29.6,52
14.49,2914,29.1,52
14.72,2913,29.2,52
14.72,2913,29,52
14.49,2914,29.9,52
14.72,2913,29.9,52
-5.14,2987,29.9,52
16.06,2907,29.9,52
8.96,2937,29.9,52
13.81,2917,29.2,52
14.27,2915,29,52
14.27,2915,29.2,52
19.01,2893,29,52
14.27,2915,29.9,52
13.81,2917,29.7,52
14.95,2912,29.1,52
15.17,2911,29.2,52
13.58,2918,29.3,52
25.43,2858,29,52
14.72,2913,29.9,52
13.81,2917,29.6,52
14.27,2915,29.1,52
14.27,2915,29,52
14.27,2915,29.2,52
14.95,2912,29,52
13.81,2917,29.6,52
14.04,2916,29.1,52
15.39,2910,29.3,52
17.98,2898,29,52
14.49,2914,29.9,52
11.68,2926,29.2,52
14.04,2916,29.2,52
14.27,2915,29.3,52
15.39,2910,29,52
14.72,2913,29,52
13.81,2917,29.2,52
14.27,2915,29.2,52
13.81,2917,29.3,52
12.88,2921,29.3,52
14.04,2916,29.4,52
14.49,2914,29.4,52
9.97,2933,29,52
21.18,2882,29.6,52
16.92,2903,29,52
15.17,2911,29.7,52
14.49,2914,29.1,52
14.49,2914,29.2,52
14.49,2914,29.3,52
11.2,2928,29,52
14.49,2914,29.9,52
11.44,2927,29.1,52
14.49,2914,29.3,52
14.72,2913,29,52
15.17,2911,29.9,52
13.34,2919,29.7,52
20.21,2887,29.1,52
23.57,2869,29.3,52
14.95,2912,29.4,52
14.95,2912,29.8,52
21.37,2881,29.7,52
24.77,2862,29.7,52
11.68,2926,29.1,52
-3.6,2982,29,52
13.81,2917,29.9,52
14.72,2913,29.6,52
13.81,2917,29.1,52
19.42,2891,29.9,52
14.49,2914,29.2,52
11.92,2925,29.9,52
14.72,2913,29.7,52
20.21,2887,29.5,52
14.95,2912,29.5,52
12.88,2921,29.5,52
11.92,2925,29.5,52
12.88,2921,29.8,52
15.39,2910,29.6,52
13.58,2918,29.8,52
11.2,2928,29.7,52
14.27,2915,29.7,52
15.17,2911,29.7,52
15.17,2911,29.2,52
14.27,2915,29.4,52
11.44,2927,29.5,52
15.17,2911,29.5,52
18.4,2896,29.8,52
10.96,2929,29.2,52
14.72,2913,29,52
10.96,2929,29.2,52
14.04,2916,29,52
11.92,2925,29.9,52
12.4,2923,29.7,52
11.68,2926,29.8,52
12.16,2924,29.1,52
12.88,2921,29.3,52
12.16,2924,29.4,52
11.2,2928,29.4,52
14.49,2914,29,52
12.4,2923,29.6,52
14.04,2916,29.8,52
13.34,2919,29.7,52
-3.9,2983,29.1,52
12.88,2921,29.9,52
13.34,2919,29.9,52
12.4,2923,29.1,52
13.34,2919,29.3,52
12.4,2923,29,52
13.34,2919,29.6,52
12.88,2921,29.8,52
11.92,2925,29.7,52
12.88,2921,29.5,52
12.88,2921,29.8,52
12.64,2922,29.1,52
12.64,2922,29.2,52
13.58,2918,29.4,51
12.4,2923,29.9,51
10.71,2930,29.6,51
12.4,2923,29.8,51
14.27,2915,29.7,51
11.92,2925,29.7,51
13.34,2919,29.8,51
12.88,2921,29.8,51
10.71,2930,29.7,51
12.64,2922,29.8,51
13.34,2919,29.7,51
11.44,2927,29.7,51
12.4,2923,29.7,51
11.68,2926,29.3,51
11.92,2925,29.4,51
7.68,2942,29.9,51
12.64,2922,29.3,51
10.96,2929,29.4,51
12.4,2923,29.9,51
10.96,2929,29.3,51
13.34,2919,29.4,51
12.64,2922,29,51
16.28,2906,29.1,51
14.04,2916,29.1,51
11.92,2925,29.1,51
22.12,2877,29.5,51
10.96,2929,29.4,51
14.72,2913,29.2,51
13.81,2917,29.1,51
11.68,2926,29.3,51
10.47,2931,29.1,51
14.27,2915,29.4,51
14.49,2914,29.6,51
12.88,2921,29.4,51
13.34,2919,29.2,51
18.4,2896,29.6,51
12.64,2922,29,51
12.4,2923,29.8,51
11.68,2926,29.8,51
13.81,2917,29.8,51
12.64,2922,29.8,51
12.4,2923,29.8,51
14.27,2915,29.7,51
