Moisture,ADC,Temperature,Humidity,crop,original_moisture,target_source
8.13,2923,31.7,59,Mustard,8.13,custom_meter
11.78,2846,31.7,59,Mustard,11.78,custom_meter
3.14,2985,31.8,59,Mustard,3.14,custom_meter
8.2,2922,31.8,59,Mustard,8.2,custom_meter
6.42,2947,31.4,59,Mustard,6.42,custom_meter
12.05,2836,31.3,59,Mustard,12.05,custom_meter
5.12,2963,31.9,59,Mustard,5.12,custom_meter
10.56,2879,31.9,59,Mustard,10.56,custom_meter
6.42,2947,31.5,59,Mustard,6.42,custom_meter
8.64,2915,31.6,59,Mustard,8.64,custom_meter
9.57,2899,31.8,59,Mustard,9.57,custom_meter
11.43,2857,31.8,59,Mustard,11.43,custom_meter
8.26,2921,31.4,59,Mustard,8.26,custom_meter
8.13,2923,31.4,59,Mustard,8.13,custom_meter
4.07,2975,31.7,59,Mustard,4.07,custom_meter
3.7,2979,31.4,58,Mustard,3.7,custom_meter
10.95,2870,31.4,58,Mustard,10.95,custom_meter
6.11,2951,31.4,58,Mustard,6.11,custom_meter
10.82,2873,31.4,58,Mustard,10.82,custom_meter
6.18,2950,31.6,58,Mustard,6.18,custom_meter
11.89,2842,31.6,58,Mustard,11.89,custom_meter
10.43,2882,31.6,58,Mustard,10.43,custom_meter
3.52,2981,31.9,58,Mustard,3.52,custom_meter
11.72,2848,31.9,58,Mustard,11.72,custom_meter
7.52,2932,31.5,58,Mustard,7.52,custom_meter
10.43,2882,31.5,58,Mustard,10.43,custom_meter
12.39,2819,31.1,58,Mustard,12.39,custom_meter
5.54,2958,31.7,58,Mustard,5.54,custom_meter
9.84,2894,31.7,58,Mustard,9.84,custom_meter
3.33,2983,31.4,58,Mustard,3.33,custom_meter
11.6,2852,31.4,58,Mustard,11.6,custom_meter
0.72,3009,31.6,58,Mustard,0.72,custom_meter
10.04,2890,31.6,58,Mustard,10.04,custom_meter
6.42,2947,31.8,58,Mustard,6.42,custom_meter
1.14,3005,31.8,58,Mustard,1.14,custom_meter
6.26,2949,31.4,58,Mustard,6.26,custom_meter
10.38,2883,31.4,58,Mustard,10.38,custom_meter
6.11,2951,31.6,58,Mustard,6.11,custom_meter
12.05,2836,31.6,58,Mustard,12.05,custom_meter
6.42,2947,31.3,58,Mustard,6.42,custom_meter
9.73,2896,31.3,58,Mustard,9.73,custom_meter
7.45,2933,31.7,58,Mustard,7.45,custom_meter
10.24,2886,31.7,58,Mustard,10.24,custom_meter
5.37,2960,31.3,58,Mustard,5.37,custom_meter
9.79,2895,31.3,58,Mustard,9.79,custom_meter
10.43,2882,31.7,58,Mustard,10.43,custom_meter
11.87,2843,31.8,58,Mustard,11.87,custom_meter
8.52,2917,31.7,58,Mustard,8.52,custom_meter
10.52,2880,31.7,58,Mustard,10.52,custom_meter
7.8,2928,31.4,58,Mustard,7.8,custom_meter
9.63,2898,31.4,58,Mustard,9.63,custom_meter
3.05,2986,31.6,58,Mustard,3.05,custom_meter
10.56,2879,31.6,58,Mustard,10.56,custom_meter
5.46,2959,31.6,58,Mustard,5.46,custom_meter
10.52,2880,31.6,58,Mustard,10.52,custom_meter
3.05,2986,31.9,58,Mustard,3.05,custom_meter
11.29,2861,31.9,58,Mustard,11.29,custom_meter
6.87,2941,31.4,58,Mustard,6.87,custom_meter
10.7,2876,31.4,58,Mustard,10.7,custom_meter
5.37,2960,31.7,58,Mustard,5.37,custom_meter
10.74,2875,31.7,58,Mustard,10.74,custom_meter
5.54,2958,31.9,58,Mustard,5.54,custom_meter
11.63,2851,31.9,58,Mustard,11.63,custom_meter
5.79,2955,31.1,58,Mustard,5.79,custom_meter
10.14,2888,31.1,58,Mustard,10.14,custom_meter
10.78,2874,31.0,58,Mustard,10.78,custom_meter
6.34,2948,31.4,58,Mustard,6.34,custom_meter
5.12,2963,31.5,58,Mustard,5.12,custom_meter
10.19,2887,31.5,58,Mustard,10.19,custom_meter
11.1,2704,31.8,58,Mustard,11.1,custom_meter
7.8,2928,31.8,58,Mustard,7.8,custom_meter
6.95,2940,31.9,58,Mustard,6.95,custom_meter
12.02,2837,31.9,58,Mustard,12.02,custom_meter
3.24,2984,31.3,58,Mustard,3.24,custom_meter
11.43,2857,31.3,58,Mustard,11.43,custom_meter
11.14,2865,31.5,58,Mustard,11.14,custom_meter
7.02,2939,31.7,58,Mustard,7.02,custom_meter
3.8,2978,31.7,58,Mustard,3.8,custom_meter
5.37,2960,31.9,58,Mustard,5.37,custom_meter
11.97,2839,31.9,58,Mustard,11.97,custom_meter
4.78,2967,31.8,58,Mustard,4.78,custom_meter
6.72,2943,31.6,58,Mustard,6.72,custom_meter
9.73,2896,31.6,58,Mustard,9.73,custom_meter
12.12,2833,31.7,58,Mustard,12.12,custom_meter
6.65,2944,31.5,58,Mustard,6.65,custom_meter
9.89,2893,31.5,58,Mustard,9.89,custom_meter
7.59,2931,31.2,58,Mustard,7.59,custom_meter
10.56,2879,31.2,58,Mustard,10.56,custom_meter
6.57,2945,31.7,58,Mustard,6.57,custom_meter
10.29,2885,31.7,58,Mustard,10.29,custom_meter
5.37,2960,31.0,58,Mustard,5.37,custom_meter
4.43,2971,31.8,58,Mustard,4.43,custom_meter
10.56,2879,31.8,58,Mustard,10.56,custom_meter
5.79,2955,31.8,58,Mustard,5.79,custom_meter
6.72,2943,31.8,58,Mustard,6.72,custom_meter
1.86,2998,31.6,58,Mustard,1.86,custom_meter
10.74,2875,31.6,58,Mustard,10.74,custom_meter
5.37,2960,31.6,58,Mustard,5.37,custom_meter
6.34,2948,31.0,58,Mustard,6.34,custom_meter
9.12,2907,31.0,58,Mustard,9.12,custom_meter
8.46,2918,31.0,58,Mustard,8.46,custom_meter
10.99,2869,31.0,58,Mustard,10.99,custom_meter
10.43,2882,31.0,58,Mustard,10.43,custom_meter
10.95,2870,31.0,58,Mustard,10.95,custom_meter
2.76,2989,31.4,58,Mustard,2.76,custom_meter
6.95,2940,31.6,58,Mustard,6.95,custom_meter
11.26,2862,31.6,58,Mustard,11.26,custom_meter
2.76,2989,31.7,58,Mustard,2.76,custom_meter
4.52,2970,31.7,58,Mustard,4.52,custom_meter
7.09,2938,31.7,58,Mustard,7.09,custom_meter
10.99,2869,31.7,58,Mustard,10.99,custom_meter
10.24,2886,31.6,58,Mustard,10.24,custom_meter
5.87,2954,31.7,58,Mustard,5.87,custom_meter
11.97,2839,31.7,58,Mustard,11.97,custom_meter
4.07,2975,31.2,58,Mustard,4.07,custom_meter
9.46,2901,31.2,58,Mustard,9.46,custom_meter
11.18,2864,31.7,58,Mustard,11.18,custom_meter
10.61,2878,31.6,58,Mustard,10.61,custom_meter
7.45,2933,31.6,58,Mustard,7.45,custom_meter
6.03,2952,31.2,58,Mustard,6.03,custom_meter
12.52,2810,31.2,58,Mustard,12.52,custom_meter
2.26,2994,31.5,58,Mustard,2.26,custom_meter
6.65,2944,31.9,58,Mustard,6.65,custom_meter
8.58,2916,31.4,58,Mustard,8.58,custom_meter
4.95,2965,31.7,57,Mustard,4.95,custom_meter
11.43,2857,31.7,57,Mustard,11.43,custom_meter
9.01,2909,31.1,57,Mustard,9.01,custom_meter
11.53,2854,31.1,57,Mustard,11.53,custom_meter
5.37,2960,31.4,57,Mustard,5.37,custom_meter
10.52,2880,31.4,57,Mustard,10.52,custom_meter
6.42,2947,31.8,57,Mustard,6.42,custom_meter
7.93,2926,31.8,57,Mustard,7.93,custom_meter
11.57,2853,31.1,57,Mustard,11.57,custom_meter
5.87,2954,31.2,57,Mustard,5.87,custom_meter
10.47,2881,31.2,57,Mustard,10.47,custom_meter
