Moisture,ADC,Temperature,Humidity,crop,original_moisture,target_source
11.2,2928,30.1,53.0,Groundnut,10.9,merged
11.44,2927,30.0,53.0,Groundnut,11.44,custom_meter
11.44,2927,30.4,53.0,Groundnut,10.9,merged
16.49,2905,30.5,53.0,Groundnut,16.49,custom_meter
11.2,2928,30.9,53.0,Groundnut,11.2,custom_meter
11.2,2928,30.3,53.0,Groundnut,11.2,custom_meter
9.47,2935,30.6,53.0,Groundnut,9.47,custom_meter
13.81,2917,30.9,53.0,Groundnut,13.81,custom_meter
10.96,2929,30.8,53.0,Groundnut,10.96,custom_meter
11.2,2928,30.1,53.0,Groundnut,10.9,merged
11.68,2926,30.0,53.0,Groundnut,11.68,custom_meter
11.2,2928,30.2,53.0,Groundnut,10.9,merged
11.44,2927,30.7,53.0,Groundnut,11.44,custom_meter
11.2,2928,30.6,53.0,Groundnut,11.2,custom_meter
2.55,2961,30.7,53.0,Groundnut,2.55,custom_meter
12.4,2923,30.1,53.0,Groundnut,12.4,custom_meter
11.44,2927,30.4,53.0,Groundnut,10.9,merged
11.2,2928,30.3,53.0,Groundnut,11.2,custom_meter
11.92,2925,30.1,53.0,Groundnut,10.9,merged
11.2,2928,30.7,53.0,Groundnut,10.9,merged
11.68,2926,30.6,53.0,Groundnut,11.68,custom_meter
7.94,2941,30.0,53.0,Groundnut,7.94,custom_meter
13.81,2917,30.9,53.0,Groundnut,13.81,custom_meter
11.44,2927,30.2,53.0,Groundnut,11.44,custom_meter
14.72,2913,30.5,53.0,Groundnut,14.72,custom_meter
11.2,2928,30.9,53.0,Groundnut,11.2,custom_meter
12.16,2924,30.3,53.0,Groundnut,12.16,custom_meter
10.96,2929,30.6,53.0,Groundnut,10.96,custom_meter
11.2,2928,30.1,53.0,Groundnut,10.9,merged
21.37,2881,30.0,53.0,Groundnut,21.37,custom_meter
11.2,2928,30.9,53.0,Groundnut,11.2,custom_meter
11.92,2925,30.3,53.0,Groundnut,11.92,custom_meter
11.44,2927,30.5,53.0,Groundnut,10.8,merged
11.2,2928,30.5,53.0,Groundnut,11.2,custom_meter
11.2,2928,30.0,53.0,Groundnut,10.8,merged
3.67,2957,30.4,53.0,Groundnut,3.67,custom_meter
11.2,2928,30.5,53.0,Groundnut,11.2,custom_meter
12.88,2921,30.9,53.0,Groundnut,12.88,custom_meter
12.64,2922,30.3,53.0,Groundnut,12.64,custom_meter
11.2,2928,30.5,53.0,Groundnut,11.2,custom_meter
11.2,2928,30.4,53.0,Groundnut,10.9,merged
11.2,2928,30.8,53.0,Groundnut,10.9,merged
18.4,2896,30.6,53.0,Groundnut,18.4,custom_meter
11.2,2928,30.0,53.0,Groundnut,10.8,merged
19.42,2891,30.7,53.0,Groundnut,19.42,custom_meter
9.47,2935,30.1,53.0,Groundnut,9.47,custom_meter
14.27,2915,30.7,53.0,Groundnut,14.27,custom_meter
11.2,2928,30.4,53.0,Groundnut,10.9,merged
10.71,2930,30.6,53.0,Groundnut,10.71,custom_meter
8.2,2940,30.2,53.0,Groundnut,8.2,custom_meter
5.3,2951,30.7,53.0,Groundnut,5.3,custom_meter
11.2,2928,30.9,53.0,Groundnut,11.2,custom_meter
11.68,2926,30.1,53.0,Groundnut,10.9,merged
10.47,2931,30.9,53.0,Groundnut,10.47,custom_meter
11.2,2928,30.9,53.0,Groundnut,11.2,custom_meter
11.2,2928,30.1,53.0,Groundnut,10.9,merged
11.92,2925,30.7,53.0,Groundnut,11.92,custom_meter
11.2,2928,30.0,53.0,Groundnut,10.8,merged
11.68,2926,30.3,53.0,Groundnut,11.68,custom_meter
11.2,2928,30.6,53.0,Groundnut,11.2,custom_meter
10.96,2929,30.9,53.0,Groundnut,10.96,custom_meter
10.47,2931,30.6,53.0,Groundnut,10.47,custom_meter
10.96,2929,30.9,53.0,Groundnut,10.96,custom_meter
11.44,2927,30.9,53.0,Groundnut,11.44,custom_meter
11.2,2928,30.1,53.0,Groundnut,10.9,merged
9.72,2934,30.5,53.0,Groundnut,9.72,custom_meter
10.96,2929,30.7,53.0,Groundnut,10.8,merged
11.2,2928,30.5,53.0,Groundnut,11.2,custom_meter
12.64,2922,30.6,53.0,Groundnut,12.64,custom_meter
11.2,2928,30.6,53.0,Groundnut,11.2,custom_meter
11.2,2928,30.7,53.0,Groundnut,10.9,merged
11.68,2926,30.8,53.0,Groundnut,10.8,merged
